label,content
1,"The Reserve Bank of India kept the repo rate unchanged during its latest monetary policy meeting while maintaining its focus on inflation and economic growth."
1,"NASA successfully launched its latest Mars exploration mission carrying advanced scientific instruments to study the Martian atmosphere."
1,"The Indian Space Research Organisation announced the successful testing of a reusable launch vehicle during its latest mission."
1,"The Supreme Court of India heard multiple petitions related to environmental regulations and scheduled the next hearing for next month."
1,"The Ministry of Railways introduced new Vande Bharat Express services to improve connectivity between major Indian cities."
1,"The World Health Organization released a report highlighting progress in global vaccination campaigns over the past year."
1,"The Election Commission announced the schedule for upcoming state elections and issued guidelines for political parties."
1,"Researchers at the Indian Institute of Science developed a new battery technology aimed at improving electric vehicle efficiency."
1,"Apple unveiled its latest software update featuring improved privacy settings, AI-powered tools and security enhancements."
1,"The United Nations emphasized the importance of climate action during its annual summit attended by representatives from over 190 countries."

0,"NASA confirms drinking Coca Cola cures cancer in just two days. Scientists say hospitals will stop using medicine because soft drinks destroy cancer cells."
0,"The Indian government secretly plans to ban oxygen cylinders because breathing pure oxygen is now considered dangerous."
0,"Scientists prove that the Earth stopped rotating for five minutes without anyone noticing."
0,"The United Nations officially declared that aliens will begin governing Earth from next month."
0,"Researchers discover that eating chocolate three times a day guarantees a lifespan of more than 150 years."
0,"Doctors confirm that sleeping only one hour every night increases intelligence by 300 percent."
0,"A secret underground city beneath the Taj Mahal has been discovered containing advanced alien technology."
0,"The Reserve Bank of India announced that all bank loans will automatically be cancelled starting next week."
0,"NASA announced that the Moon disappeared for thirty minutes due to a mysterious black hole passing near Earth."
0,"Scientists reveal that charging your phone under moonlight doubles battery life permanently."
